,precision,recall,f1-score,support
Glioma,0.9928400954653938,0.9390519187358917,0.9651972157772621,886.0
Meningioma,0.9593908629441624,0.9185905224787363,0.9385474860335196,823.0
Pituitary,0.8974918211559433,0.986810551558753,0.9400342661336379,834.0
accuracy,0.9480928037750688,0.9480928037750688,0.9480928037750688,0.9480928037750688
macro avg,0.9499075931884998,0.948150997591127,0.9479263226481399,2543.0
weighted avg,0.9507444685919942,0.9480928037750688,0.9483200519621293,2543.0
