,precision,recall,f1-score,support
Glioma,0.9894613583138173,0.95372460496614,0.9712643678160919,886.0
Meningioma,0.9624060150375939,0.9331713244228432,0.9475632325724861,823.0
Pituitary,0.9191919191919192,0.9820143884892086,0.9495652173913044,834.0
accuracy,0.9563507668108533,0.9563507668108533,0.9563507668108533,0.9563507668108533
macro avg,0.9570197641811101,0.9563034392927307,0.9561309392599608,2543.0
weighted avg,0.9576598405222346,0.9563507668108533,0.9564774524563748,2543.0
