,precision,recall,f1-score,support
Glioma,0.9845422116527943,0.9345372460496614,0.9588882455124493,886.0
Meningioma,0.9670184696569921,0.8906439854191981,0.9272612270714737,823.0
Pituitary,0.8707627118644068,0.9856115107913669,0.9246344206974129,834.0
accuracy,0.9370821863940229,0.9370821863940229,0.9370821863940229,0.9370821863940229
macro avg,0.9407744643913979,0.9369309140867421,0.9369279644271119,2543.0
weighted avg,0.9415559188938244,0.9370821863940229,0.9374188290465967,2543.0
