,precision,recall,f1-score,support
Glioma,0.9903730445246691,0.9288939051918735,0.9586488060570763,886.0
Meningioma,0.9562913907284768,0.8772782503037667,0.9150823827629911,823.0
Pituitary,0.857889237199582,0.9844124700239808,0.9168062534896706,834.0
accuracy,0.9303971686983877,0.9303971686983877,0.9303971686983877,0.9303971686983877
macro avg,0.9348512241509094,0.930194875173207,0.9301791474365793,2543.0
weighted avg,0.9358938088253419,0.9303971686983877,0.9308266058163179,2543.0
