,precision,recall,f1-score,support
Glioma,0.990487514863258,0.9401805869074492,0.9646786334684424,886.0
Meningioma,0.9563543003851092,0.905224787363305,0.9300873907615481,823.0
Pituitary,0.8894907908992417,0.9844124700239808,0.9345475241889585,834.0
accuracy,0.9433739677546206,0.9433739677546206,0.9433739677546206,0.9433739677546206
macro avg,0.9454442020492029,0.9432726147649118,0.9431045161396497,2543.0
weighted avg,0.9463180680282182,0.9433739677546206,0.9436019768082522,2543.0
