,precision,recall,f1-score,support
Glioma,0.9888751545117429,0.9029345372460497,0.943952802359882,886.0
Meningioma,0.9581005586592178,0.8335358444714459,0.8914879792072774,823.0
Pituitary,0.7996070726915521,0.9760191846522782,0.8790496760259179,834.0
accuracy,0.9044435705859222,0.9044435705859222,0.9044435705859222,0.9044435705859222
macro avg,0.9155275952875043,0.9041631887899246,0.9048301525310257,2543.0
weighted avg,0.916843273809947,0.9044435705859222,0.9056878566984115,2543.0
