,precision,recall,f1-score,support
Glioma,0.9976047904191617,0.9401805869074492,0.9680418361417781,886.0
Meningioma,0.9633507853403142,0.8942891859052248,0.927536231884058,823.0
Pituitary,0.8728813559322034,0.988009592326139,0.9268841394825647,834.0
accuracy,0.9410145497443964,0.9410145497443964,0.9410145497443964,0.9410145497443964
macro avg,0.944612310563893,0.9408264550462709,0.9408207358361335,2543.0
weighted avg,0.9456148609885621,0.9410145497443964,0.9414348242196832,2543.0
