,precision,recall,f1-score,support
Glioma,0.9753810082063306,0.9390519187358917,0.9568717653824037,886.0
Meningioma,0.919664268585132,0.9319562575941677,0.9257694628847315,823.0
Pituitary,0.9170560747663551,0.9412470023980816,0.9289940828402367,834.0
accuracy,0.9374754227290601,0.9374754227290601,0.9374754227290601,0.9374754227290601
macro avg,0.9373671171859392,0.9374183929093802,0.937211770369124,2543.0
weighted avg,0.9382210116679169,0.9374754227290601,0.9376632784788442,2543.0
