,precision,recall,f1-score,support
Glioma,0.9927710843373494,0.9300225733634312,0.9603729603729604,886.0
Meningioma,0.9296116504854369,0.9307411907654921,0.9301760777170613,823.0
Pituitary,0.9133858267716536,0.973621103117506,0.942542077771329,834.0
accuracy,0.9445536767597326,0.9445536767597326,0.9445536767597326,0.9445536767597326
macro avg,0.9452561871981467,0.9447949557488098,0.9443637052871169,2543.0
weighted avg,0.9462954575697857,0.9445536767597326,0.9447524371658957,2543.0
